Region,Country Code,Name,Overall Impact,Status Comments (en),Status Comments (fr),Health Measures,Health Comments (en),Health Comments (fr),Economic Measures,Economic Comments (en),Economic Comments (fr),Port Operations        ,Port Comments (en),Port Comments (fr),Domestic Transport ,Transport Comments (en),Transport Comments (fr),Transit & Borders ,Transit Comments (en),Transit Comments (fr),Agro Input Access,Agro Input Access Comments (en),Agro Input Access Comments (fr),Retail Price ,Fertilizer Price Comments (en),Fertilizer Price Comments (fr),Sector Responses,Responses Comments (en),Responses Comments (fr),Stocks Availability,Availability Comments (en),Availability Comments (fr)
East & Southern Africa,BDI,Burundi,Limited,There are no lockdown or restrictions in place. However the newly elected President has launched a three-month nation-wide coronavirus screening campaign. This is the first firm commitment by the country to fight the pandemic.,,Limited,"Mandatory wearing of masks in public and practicing social distancing.
UNICEF, Savonor S.A and the government implementing intiatives to make soap and water affordable.",,No data,,,No data,Majority of product comes through the port of Dar es Salaam and Mombasa. See relevant port restrictions.,,Low or none,Normal operations,,Low or none,Increase in transport costs from port of Mombasa to Bujumbura from an average of $522 to $629.,,Low or none,Normal trading,,No data,,,No data,,,Limited,"Slight delayed in this years' procurement of fertilizers however, this is expected to have little to no impact on consumption.",
East & Southern Africa,ETH,Ethiopia,Moderate,"State of Emergency in place until September 2020.
Land borders are closed but international airports are open, with Ethiopia Airlines operating international commercial flights.
Quarantine period of persons entering the country has been revised down from 14 days to 7 days.
",,Strong,"The GoE, in partnership with International Organization of Migration (IOM), are distributing PPEs (surgical masks, gloves, face shields, and thermometers) to quarantine facilities in Addis Ababa. Also distributing NFIs, including mosquito nets, laundry soaps and water jerrycans in Metema quarantine facility.
16 sensitization sessions carried out at Addis Ababa quarantine facilities by IOM to inform returnees about COVID-19 precautionary measures and quarantine procedures.
Construction of 2 screening points at the entry and exit of Bule Hora Town, Oromia.",,Strong,"African Development Bank (AfDB) grants $165 Million for national COVID-19 emergency response.
Suspension of the import tariff on raw materials for the production of COVID-19 essential goods still in place.","La Banque africaine de développement (BAD) accorde 165 millions de dollars pour la réponse nationale d'urgence COVID-19.
Suspension du tarif d'importation des matières premières pour la production de biens essentiels du COVID-19 toujours en place.",Moderate,"All imports come through the port of Djibouti. Normal operations at the Port of Djibouti, with slight delays in product movement. e.g. delays in fertilizer supply due to a delay in the delivery of fertilizer bags from India to the port; port labourers have increased their fee for loading and offloading goods, and these has in effect slowed down product movement
",,Limited,"Normal operations, however, delays experienced in truckloading, and a go slow among truck drivers has affected the timely transportion of fertilizers from the Djibouti port to 106 central stores.",,Moderate,"Transportion costs have increased.
Significant drop in truck availability for local develivery of fertilizers, with approximately 100-120 trucks available for deliveries daily compared to 250 trucks in the past. 
",,Moderate,"Increased costs in logistics has not been considered, in price setting (in Tigray state where the state govt sets prices) and now cooperatives and unions are recording losses.
Distribution of fertilizers to farmers, through the voucher system, limited due to restrictions on public gatherings.
Some central stores are temporarily closed, and private owners refusing to rent out additional storage spaces due to fears tied to COVID-19 spreading.  ",,No data,There's an increase in fertilizer prices attributed to the increase in transport and storage costs (in all regions except for Tigray).,,Limited,"Budget allocated to fertilizer.
Demonstrations have been reassigned to COVID-19 responses owing to restrictions on public gatherings.
NBE lifted the minimum price setting for horticultural exports.",,Limited,"No expected shortage, despite delays in local fertilizer supply and distribution. ",
East & Southern Africa,KEN,Kenya,Moderate,"Cessation of movement in and out of counties with high infection rates was lifted after being on partial lockdown for 2 months. 
COVID-19 cases present in 44 out of 47 counties. 
Nationwide curfew between 9pm-4am was extended to the end of July.
All basic education institutions (primary & secondary) to resume classes in January 2021. Universities, colleges and other tertiary institutions scheduled to resume in September after meeting strict COVID-19 guidelines. 
Domestic commercial flights resumed operation from the 15th July while the international flights are scheduled to resume on the 1st of August. 
",,Strong,"Prohibiton of social and political gatherings extended to the August 6th.
Medical quarantine extended to an extra 14 days for those who test positive for COVID-19 in government quarantine facilities.
Phased reopening of places of worship with a maximum of 100 people members, exluding children below 13 years and adults above 58 years, for no more than one hour per session.
UNFPA and the Red Cross donated PPE kits amounting to $236,000 to the minsitry to enhance the health care workers' safety during provision of key services.
Donation of testing booths, beverage dispensers, hand sanitizers, surgical masks & a utility vehicle were donated by Prosel Limited, Nestle Kenya, L’Oreal EA, Isuzu East Africa, Astra Zeneca & HACO industries.
",,Moderate,"Equity Bank receives $5Million from IFC to be extended to SMEs hard hit by COVID-19.
Demand for Kenya's flowers has recovered by approximately 85% of pre-COVID-19 levels as European markets open up after lockdown.
Wildlife entry park fees reduced by 50 percent, effective for a one year period from July 1 2020, to target local and international tourists.
","Equity Bank"" reçoit 5 millions de dollars de l'IFC pour être étendue aux PME durement touchées par le COVID-19.
La demande des fleurs kenyanes s'est redressée d'environ 85 % par rapport aux niveaux antérieurs du COVID-19, grâce à l'ouverture des marchés européens après le confinement.
Les entrées des parcs animaliers ont été réduites de 50 %, pour une période d'un an à partir du 1er juillet 2020, afin de cibler les touristes locaux et internationaux.",Low or none,Normal operations at Port of Mombasa,,Limited,"Normal operations with movement of essential goods being permitted during the curfew hours. 
Resumption of public passenger transport services countrywide with a notable increase in fares by 67%.",,Moderate,"Significant delays at border crossing due to screening and testing of drivers, resulting in an increase in transport costs by logistic service providers.",,Low or none,"Normal trading
",,Stable or decrease,"Average commercial prices:
DAP = 3,000 KES / 50 Kg
NPK 17-17-17 = 2,000 KES / 50 Kg
CAN = 2,200 KES / 50 Kg
Urea = 2,600 KES / 50 Kg

Most DAP prices were stable. However, there was a average of -9% price decrease in 4 locations and 8% price increase in 6 locations

Most NPK prices were stable. However, there was a average of -4% price decrease in 2 locations and 9% price increase in 6 locations.

Most CAN prices increased. However, there was a average of -11% price decrease in 2 locations and 15% price increase in 16 locations.

Most Urea prices were stable. However, there was a 9% price increase in 1 location.","Les prix commerciaux moyens:
DAP = 3,000 KES / 50 Kg
NPK 17-17-17 = 2,000 KES / 50 Kg
CAN = 2,200 KES / 50 Kg
Urée = 2,600 KES / 50 Kg

La plupart des prix des DAP sont stables. Cependant, on a constaté une baisse moyenne de -9% des prix dans 4 endroits et une hausse de 8% dans 6 endroits

La plupart des prix NPK étaient stables. Cependant, on a constaté une baisse moyenne de -4% des prix dans 2 endroits et une hausse de 9% dans 6 endroits.

La plupart des prix CAN ont augmenté. Cependant, on a constaté une baisse moyenne de -11% dans deux endroits et une hausse de 15% dans 16 endroits.

La plupart des prix de l'urée sont restés stables. Toutefois, une augmentation de 9 % a été enregistrée dans un endroit.

",Strong,"$17 billion from the EU to support the Kenya govt among other thing, enhance access to agricultural inputs such as seeds and saplings to ensure food security.
Yara donating 13,000mt of NPK fertilizers targetting 73,000 smallholder farmers cultivating maize.  ",,Low or none,"No expected shortage as long rain season draws near to the end.
Approximately 18,000mt of NPKs expected to arrive at Mombasa, reducing the forecasted decline in NPK  imports. 
CAN and Urea shipments in transit to Mombasa; OCP and ETG  awarded 10,000mt of CAN and 10,000mt of DAP to supply One Acre Fund.
Fertilizer imports in the first half of 2020 remain at 24%, compared to the same period a year earlier according to AFRIQOM data. KTDA 2020 tender cancellation remains major.",
East & Southern Africa,MWI,Malawi,Moderate,"The country has observed a spike in COVID-19 cases by over 40% over 2 weeks and this is being attributed to the high number of repatriated citizen and deportees continuing to arrive into the country from South Africa; as well as the Malawian's participation in the court-sanctioned presidential election re-run.
All learning institutions to remain closed until further notice.
A new government is in power.",,Limited,"COVID-19 prevention measures still in place, with social distancing and frequent hand washing being encouranged, as well as mandatory wearing of face masks. ",,Moderate,"FAO supporting the installation of 10 greenhouses in Lilongwe rural, Salima and Mzimba to assist 250 women farmers and a total of 3,000 indirect beneficiaries (75% women) to Build Back Better from COVID-19, in partenership with UN Women through funding from the Government of Korea.
UNICEF has initiated procurement actions worth over US$10 million for essential and strategic supplies on behalf of the Government of Malawi and other partners.","La FAO soutient l'installation de 10 serres dans les zones rurales de Lilongwe, Salima et Mzimba pour aider 250 agricultrices et un total de 3 000 bénéficiaires indirects (75% de femmes) à mieux reconstruire à partir du COVID-19, en partenariat avec les Nations Unies pour les femmes grâce à un financement du gouvernement coréen.
L'UNICEF a lancé des actions d'achat de fournitures essentielles et stratégiques d'une valeur de plus de 10 millions de dollars américains pour le compte du gouvernement du Malawi et d'autres partenaires",No data,Majority of product comes through the port of Beira. See relevant port restrictions.,,Low or none,Normal operations,,Moderate,"Normal operations with slight delays at border crossings due to screening. 
Dedza border crossing now open. 
Reduced staff at the border crossings.",,Low or none,Normal trading,,Stable or decrease,"Average commercial prices:
NPK 23-21-0+4S = 21,000 MWK/ 50 Kg
CAN = 18,000 MWK/ 50 Kg
Urea = 18,500 MWK / 50 Kg

Most NPK prices decreased by an average of  -6% in 12 locations. However, prices remained constant in 11 locations and there was  4% price increase in 2 locations.

Most CAN prices remained constant. However, there was a 1% price increase in 1 location.

Most Urea prices were stable. However, there was a 6% price increase in 1 location.","Les prix commerciaux moyens:
NPK 23-21-0+4S = 21,000 MWK/ 50 Kg
CAN = 18,000 MWK/ 50 Kg
Urée = 18,500 MWK / 50 Kg

La plupart des prix NPK ont diminué en moyenne de -6% dans 12 endroits. Toutefois, les prix sont restés constants dans 11 localités et ont augmenté de 4 % dans 2 localités.

La plupart des prix CAN sont restés constants. Toutefois, une augmentation de 1 % a été enregistrée dans un endroit.

La plupart des prix de l'urée sont restés stables. Toutefois, une augmentation de 6 % a été enregistrée dans un endroit.",Low or none,"A new government in Malawi, wanting to implement a fertilizer subsidy scheme, faced with increased budgetary pressure due to Covid will contribute to pressure on availability of Forex to buy fertilizers.",,Low or none,No expected shortage,
East & Southern Africa,MOZ,Mozambique,Moderate,"Extension of the state of emergency to July 29th, with level three state of emergency measures being maintained.
Religious places of worship and bars remain closed.
Museums and art galleries to reopen with limited capacity.
Schools to remain closed, going back on a directive that was to see them reopening on 27th July.",,Moderate,"Testing capacity increased, from 400 tests to 6,000 per day, in 4 provincial laboratories.",,Strong,"Government announces availability of $22.8 million through BNI (National Bank of Investment) to finance micro, small and medium-sized companies with an interest rate ranging from 6% - 12%.
Government authorizes entry of foreign citizens who aim to invest in Mozambique.
Businesses allowed to re-open until 5pm.","Le gouvernement annonce la mise à disposition de 22,8 millions de dollars par le biais de la BNI (Banque nationale d'investissement) pour financer les micro, petites et moyennes entreprises avec un taux d'intérêt allant de 6 à 12 %.
Le gouvernement autorise l'entrée des citoyens étrangers qui souhaitent investir au Mozambique.
Les entreprises sont autorisées à rouvrir jusqu'à 17 heure",Moderate,"Normal operations, with restrictions in place on unloading loose bags less than 500kgs from 15 July to increase movement of cargo. 
Restriction in working hours, with increased congestion and demurrage.
Mandatory screening of the ship crews.
Rehabilitation of the port warehouses that were severely damaged by the cyclone Idai last year has started.
Restriction at the wharf (Shorter working hours, restrictions on some product type  discharging) are causing minor delays",,Limited,"Movement of goods by duly accredited operators is permitted.
CFM rehabilitating the Beira/Machipanda railway to increase the capacity and improve the safety of traffic on the Beira corridor.",,Low or none,Normal operations at border crossings ,,Low or none,Normal trading,,Stable or decrease,"Average commercial prices:
DAP = 1,300 MZN / 50 Kg
NPK 12-24-12 = 1,800 MZN / 50 Kg
CAN = 1,400 MZN / 50 Kg
Urea = 1,600 MZN / 50 Kg

DAP prices remained stable in 8 locations.

Most NPK prices remained stable. However, there was an average of  12% price increase in 10 locations.

CAN prices remained stable in 2 locations.

Most Urea prices remained stable. However, there was an average of 13% price increase in 7 locations.
","Les prix commerciaux moyens:
DAP = 1,300 MZN / 50 Kg
NPK 12-24-12 = 1,800 MZN / 50 Kg
CAN = 1,400 MZN / 50 Kg
Urée = 1,600 MZN / 50 Kg

Les prix du DAP sont restés stables dans 8 endroits.

La plupart des prix NPK sont restés stables. Toutefois, on a constaté une augmentation moyenne de 12 % des prix dans 10 localités.

Les prix CAN sont restés stables dans 2 localités.

La plupart des prix de l'urée sont restés stables. Cependant, il y a eu une augmentation moyenne de 13% des prix dans 7 localités.",No data,,,Low or none,"No expected shortage.
Imports at the port of Beira, have exceeded 500,000mt in the period of April to July 2020 for various fertilizers",
East & Southern Africa,RWA,Rwanda,Moderate,"Lockdown imposed on Kamabuye, Zuba, Nyenyeri, and Rugano villages in Kicukiro district, and Kadobogo and Gisenga villages in Nyarugenge district for 15 days. Rusizi and parts of Kigali remain locked down.
International and domestic charter flights were re-instituted and tourism attractions reopened to revive the sector.",,Strong,"COVID-19 prevention measures continue to be rigorously observed; frequent hand-washing and physical distancing, with mandatory wearing of face masks in public.
Rwanda Biomedical Centre to begin a COVID-19 street testing survey in Kigali and at the entry points to Kigali. There is also a drive-through testing scheme at the national stadium.
",,Limited,"Suspended charges on electronic money transactions reinstated on June 22.
",Suspension des frais sur les opérations de monnaie électronique rétablie le 22 juin.,No data,Majority of product comes through the port of Mombasa and Dar es Salaam. See relevant port restrictions.,,Limited,Normal operations with exception of Rusizi and parts of Kigali which are still locked down.,,Low or none,Normal movement of transit goods at the border.,,Low or none,Normal trading,,No data,,,Strong,"Rwanda Fertilizer Company (RFC) supporting smallholder farmers by facilitating them with at least 500mt of DAP fertilizers estimated to be used on 5,000ha",,Low or none,No expected shortage.,
East & Southern Africa,ZAF,South Africa,Moderate,"Lockdown level 3 is still in place.
Surge in infections after the government allowed businesses to reopen. May revise the lockdown levels upwards to slow the spread. 
",,Moderate,"First COVID-19 vaccine trial in South Africa begins.
Conversion of convention centres in Cape Town and Johannesburg, and and a closed car manufacturing plant into medical wards in a bid to increase hospital capacity.
Museums, cinemas, casinos and worship gatherings permitted but limited to 50 people.",,Moderate,"Government assisting companies and workers through Unemployment Insurance Fund and other special programs.
Depreciation of the local currency (rand) by 16% vis a vis the US dollar.","Le gouvernement assiste les entreprises et les travailleurs par le biais de la Caisse d'assurance chômage et d'autres programmes spéciaux.
Dépréciation de la monnaie locale (rand) de 16% par rapport au dollar américain",Low or none,Majority of product comes through the port of Dar es Salaam. See relevant port restrictions.,,No data,,,Low or none,"Normal operations with slight delays at border crossings due to screening.
Beitbridge Border Post reopens after temporary closure.",,Low or none,Off season. Limited trading,,No data,,,No data,,,Limited,"No expected shortage.
Local supply of MAP threatned with Foskor affected by fire at facility, that halted production. External supply assured from Saudi Arabia and Russia to cover MAP demand as season starts. 
28,000t of potential Iranian Uea, supplied via Duran port.",
East & Southern Africa,TZA,Tanzania,Low or None,"No lockdown or restrictions
Country declared COVID-19 free; business as usual
International borders open
",,Low or None,Washing of hands and use of sanitizers encouraged.,,Moderate,"VAT and customs duties exemptions to imported medical equipment and medical supplies.
",Exonération de la TVA et des droits de douane pour les équipements médicaux et les fournitures médicales importés.,Limited,"Normal operations
Shipping lines urged to extend the demurrage free period by between 10 and 25 days on different destinations, giving Dar es Salaam port an edge over Mombasa port, Kenya",,Low or none,Normal operations,,No data,,,Low or none,Normal trading,,Stable or decrease,"Average commercial prices:
DAP = 60,700 TZS / 50 Kg
NPK 17-17-17 = 70,000 TZS / 50 Kg
CAN = 49,000 TZS/ 50 Kg
Urea = 57,000 TZS / 50 Kg

Most DAP prices remained stable. However, there was a 1% price increase in 1 location.

Most NPK prices remained stable. However, there was an average of 6% price increase in 4 locations.

Most CAN prices remained stable. However, there was a -7% price decrease in 1 location and 12% price increase in 4 locations

Most Urea prices remained stable. However, there was a -3% price decrease in 1 location and 12% price increase in 3 locations","Les prix commerciaux moyens:
DAP = 60,700 TZS / 50 Kg
NPK 17-17-17 = 70,000 TZS / 50 Kg
CAN = 49,000 TZS/ 50 Kg
Urée  = 57,000 TZS / 50 Kg

La plupart des prix du DAP sont restés stables. Toutefois, une augmentation de 1 % des prix a été constatée dans un endroit.

La plupart des prix NPK sont restés stables. Cependant, il y a eu une augmentation moyenne de 6 % des prix dans 4 localités.

La plupart des prix CAN sont restés stables. Cependant, il y a eu une baisse de 7 % dans un endroit et une augmentation de 12 % dans quatre endroits.

La plupart des prix de l'urée sont restés stables. Toutefois, on a constaté une baisse de 3 % des prix dans un endroit et une hausse de 12 % dans trois autres.

",Moderate,TFRA BPS on schedule ensuring timely supply. Potential to benefit from seasonal price cycle.,,Low or none,"No expected shortage.
Ammonuim Sulphate consignment in transit from the US.
DAP shipment in transit in addition to TFRA BPS consignments.
Swiss Singapore’s 25,000mt of Urea under TFRA BPS, loaded in Yantai China with an ETA of August 05 (cargo is potentially a re-export load.)",
East & Southern Africa,UGA,Uganda,Limited,"Daily curfew timing revised for 9pm to 5.30am.
Lockdown measures in Gulu district.
Schools remain closed, with an expected updated on the way forward coming in August.
International borders remain closed.
Business allowed to reopen. Public bicycle and motorcycle taxis allowed back in operation from July 27, operating until 6pm. 
",,Limited,"Reopening of public and private transport in selected border districts that have not registred any COVID-19 infections.
Increased number of occupants of private cars from 60% to 80%.
",,Strong,$300 million budget support recovery approved by World Bank,La Banque mondiale approuve le recouvrement d'un soutien budgétaire de 300 millions de dollars,No data,Majority of product comes through the port of Mombasa. See relevant port restrictions.,,Limited,"Normal operations countrywide except in border districts
",,Moderate,"Normal movement at border crossing. However, significant delays experienced at the Busia border crossings, attributed to screening and testing of drivers. Drivers found to be defaulting the COVID-19 social guidelines.
15 Kenyan truck drivers denied entry after testing postive for COVID-19",,Limited,"Normal trading between from 9am to 2pm
",,Stable or decrease,"Average commercial prices:
DAP = 124,000 UGX / 50 Kg
NPK 17-17-17 = 120,800 UGX / 50 Kg
CAN = 115,000 UGX/ 50 Kg
Urea = 110,000 UGX / 50 Kg

Most DAP prices remained stable. However, there was an average of 9% price increase in 5 locations.

Most NPK prices remained stable. However, there was an average of 11% price increase in 7 locations and -3% price decrease in1 location.

Most CAN prices remained stable. However, there was a -4% price decrease in 1 location.

Most Urea prices remained stable. However, there was an average of  8% price increase in 6 locations. 

","Les prix commerciaux moyens:
DAP = 124,000 UGX / 50 Kg
NPK 17-17-17 = 120,800 UGX / 50 Kg
CAN = 115,000 UGX/ 50 Kg
Urée  = 110,000 UGX / 50 Kg

La plupart des prix du DAP sont restés stables. Cependant, on a constaté une augmentation moyenne de 9 % des prix dans 5 endroits.

La plupart des prix NPK sont restés stables. Cependant, on a constaté une augmentation moyenne de 11 % des prix dans 7 endroits et une diminution de 3 % dans un endroit.

La plupart des prix CAN sont restés stables. Cependant, une baisse de prix de -4% a été enregistrée dans un endroit.

La plupart des prix de l'urée sont restés stables. Cependant, on a constaté une augmentation moyenne de 8 % des prix dans 6 localités. 

",No data,,,Low or none,No expected shortage.,
East & Southern Africa,ZMB,Zambia,Limited,"COVID-19 cases reported in 44 districts. 
Businesses allowed to operate, except for bars and casinos.
Plan underway to reopen the remaining school classes. Examination classes (in primary and high school) already opened.
Government set to reopen international borders.                                                                                                                                           
Zambia's parliament forced to adjourn after legislator succums to COVID-19. ",,Moderate,"Adherance to guidelines and social measures set before still in place, includin, social distancing and mandatory wearing of masks. 
Donation of medical equipment and transport facilities by WHO to MOH to help the country curb the spread of COVID-19.",,Strong,"Approval of $438 million COVID-19 economic stimulus package by Zambia cabinet
",Approbation d'un plan de relance économique COVID-19 de 438 millions de dollars par le cabinet zambien,No data,Majority of product comes through the port of Beira and Dar es Salaam. See relevant port restrictions.,,Low or none,Normal operations,,Moderate,Normal movement at border crossing with mandatory driver testing. ,,Limited,Normal trading,,Stable or decrease,"Average commercial prices:
NPK 10-20-10 (Compound D) = 449 ZMW / 50 Kg
Urea = 440 ZMW / 50 Kg","Les prix commerciaux moyens:
NPK 10-20-10 (Compound D) = 449 ZMW / 50 Kg
Urée = 440 ZMW / 50 Kg",Moderate,"AFAP and African Green Resources (AGR) launched a $40 million joint venture, to boost access to finance amid the COVID-19 pandemic. The joint venture will provide the farmers with credit packages for seed, fertilizer, and training.",,Low or none,"No expected shortages.
One Acre Fund has awards ETG tender to supply 1,206t NPK compound D and 1,138t Urea.",
